fonte,estacao_codigo,data,variavel,valor,unidade
MonitorDeSecas-ANA,RS,2026-05-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_semSeca,30.010000000000005,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s0s4,69.99,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s1s4,1.11,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_semSeca,35.11,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s0s4,64.89,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_semSeca,37.5,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s0s4,62.5,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_semSeca,78.9,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s0s4,21.1,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_s0s4,0.0,pct_area
